,character,seid,lemmatized,polarity,subjectivity,compound,neg,neu,pos,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,season,topic,topic_label
14492,george,S04E11,slowly shake his head my mother catch I you know all three give he blank stare I be alone nod uhhuh not really want to embellish I stop by the house to drop the car off and I go inside for a few minute nobody be there   they re suppose to be work jerry and elaine look at each other   enjoy the story my mother have a glamour magazine I start leaf through it so one thing lead to another first she scream george what be you do my god and it look like she be gon na faint   she start clutch the wall try to hang onto it I do nt know whether to try and keep she from fall or zip up I zip up yeah noticing this make he out to be the bad kid he get defensive well I could nt run over there the way I be so she fall and then she start scream my back my back so I pick she up and take she to the hospital somewhat angered she s in traction its not funny elaine her back go out she s get ta be there for a couple of day all she say on the way over in the car be why george why I say because its there vow well ill tell you this though   I be never do that   again definite all together you do nt think I can dare you think you could care to make it interesting a hundred dollar alright look you want to be in you got ta give we odd at least two to one   you got ta put up twohundre dollar alright you re in for onefifty alright now how be we gon na monitor this thing stern no ma I m not gon na see a psychiatrist n I do nt care if you do pay for it no discussion over yeah alright ill see you later yes of course I m gon na come by alright hang up slam it down on the coffee table he sit down next to jerry my mother want I to see a psychiatrist now why because she catch I scoff shake his head you know if everyone who do that have to go see a psychiatrist laughing he snort defensively whatever shrug it off shell be fine I get ta go to the hospital to see she tonight hey what be you do tonight oh the virgin any uh progress there what s the late in awe wow suggest maybe she s a nudist you know those nudist colony people I would imagine its all naked still focus on the nudist they re naked the gardener naked the bellhop jerry make a noise of astonishment one big nudearama also over his shoulder not I have a good time you re out stern try to shut she up ma ma people can hear you get up alright ma that s enough no I be not go to see a psychiatrist like a kid because I do nt want to well I be not go snap be that important really what be this a police investigation the woman be through enough she have to relive the experience now slowly back away he s not at all commit to the conversation yeah television every night at sixthirty the nurse be gorgeous then I get a look at the patient laugh then snort I be go nuts fake sympathy well my mother jerry arm out I be king of the county you quite a workout what do you say of course I m back why would nt I be back my mother in the hospital I m go to pay she a visit you re my mother what would nt I do for you smile you get it ma she smile back nod a little later george sit back in a nearby chair look at the divider in anticipation well wait a little while ma what s the difference stand up I just get here ma i d like to spend a little time with you ten minute here here fish a box of tictac out of his coat pocket and toss they to she have some tictac mutter slow hang on ma hang on all you get be instant coffee why do nt you get some real coffee where do you get those sock I think those be my sock I do nt know but those be my sock I have a pair just like that with the blue stripe and now I do nt have they anymore yeah well they re my sock oh boy oh boy do you believe this be fight be fight I too I ve be yell at stranger on the street shock you cave you re out I figure you d cruise at least through the spring and then smack the money there be two to elaine hey what happen I think you be meet kennedy yeah he do no no no he just leave yeah he be talk to marla yeah I think you know she be like cry and he be console she and then she uh just get into his car and they just drive away yeah yeah drive away you know I say hello to he you know he s   he s kramer,-0.03167162698412697,0.38249007936507945,0.9434,0.077,0.823,0.1,1.992984693877551e-05,2.8649154974489794e-05,9.964923469387754e-06,1.6193000637755103e-05,2.491230867346939e-05,4.359654017857143e-05,3.861407844387755e-05,1.992984693877551e-05,1.743861607142857e-05,2.491230867346939e-05,896,S04,1,"1: NY Outings, Events"
14905,george,S04E12,hey thank for come with I I confuse it with another awning be perfect I time this out so we would pull up at the terminal exactly   minute after their flight be suppose to land that give they just enough time to get off the plane pick up their bag and be walk out of the terminal as we roll up I tell you its a thing of beauty I can not express to you the feeling I get from a perfect airport pickup start look around what s go on what be you do the long island expressway what be you get on the long island expressway for do you know what the traffic will be like this be a suicide mission oh I have it perfectly time out the grand central the van wyck you destroy my whole timing do you know what happen if I miss he I do nt get credit for the pickup and I lose my   buck really the duty free shop duty free be the big sucker deal in retail do you know how much duty be yeah duty do you know how much duty be duty be nothing its like sale tax I like to stop at the duty free shop they re not here you cost I fifty buck look be waste our time here be a halfhour late they ve probably take it off the board already cancel do I still get credit for the pick up I be here no   what guy listen you go over to the ticket counter I m go to go stop in the gift shop and pick up a copy of time magazine there s suppose to ba blurb about jerry in it and I think he mention my name gee I m sorry   I get here first you do nt understand there s a blurb about I in this magazine umm   no but you be blanche   you be in the shackle oh I ca nt wait to read my time magazine laaaast copy too maybe ill read it tomorrow in the park its suppose to be a beeyootiful day have a nice life   sentence that be laguardia all right let go cmon my name be not mention in this blurb who s grossbard hey kramer cmon it be   buck twenty year ago nonono kramer kramer kramer you can not abandon people in the middle of an airport pickup its a bind social contract we   we must go forward   not back well you re not gon na believe it the plane be reroute back to kennedy we ve get   minute there it be gate    we get plenty of time how you gon na catch he he s probably board the plane already my credit card I m not gon na give you my card unless you tell I what its for what be you nuts you re gon na spend more on the ticket than you re gon na get back from grossbard this be a great idea here   use this one I get frequent flyer mile with every purchase   wait get two ticket as long as your turn it in for a refund what s the difference ill get double the bonus mile super saver be they refundable you buy nonrefundable ticket you idiot do you know how much this be go to cost I look I m gon na go to the bathroom ca nt be hear but look like kramer,0.13505952380952385,0.48130952380952385,0.9772,0.067,0.824,0.109,1.1931714796221226e-05,7.755614617543797e-05,1.1931714796221226e-05,2.0880500893387148e-05,1.7897572194331838e-05,4.1761001786774296e-05,5.369271658299552e-05,2.0880500893387148e-05,2.3863429592442452e-05,2.3863429592442452e-05,579,S04,2,"2: Job, Occupation, Ideas"
15064,george,S04E13,I love her jerry I love she and she love I hoo ho she really do what be I go to do now I ca nt live without susan I get ta get she back how how be I gon na get she back who say ah   a beautiful successful intelligent woman in love with I and I throw it all away uh oh boy now ill spend the rest of my life live alone ill sit in my disgusting little apartment watch basketball game eat chinese take out walk around with no underwear because I m too lazy to do a laundry yeah what do you do when you run out of laundry who be I go to meet who be well than she no one jerry no one well than she I love she I would give anything to be go up those stair again I get ta call she should I call she whyie I m not go to see that nut doctor she go to europe with she any good wa uh   my darling susan my darling my little man do nt know my little man an idiot she keep such a nice clean apartment she be so sanitary she make a big breakfast every sunday I do nt know what she put in those egg singe oh hey if you happen to see the most beautiful girl who walk out on I tell she I m sorry tell she I need my baby    oh wo nt you tell she    I love she oh hey   well hello um ah specifically the reason that I m here uh I do nt know uh what elaine tell you but uh I break up with my girlfriend a couple of week ago actually she break up with I struggle with his coat zipper and uh well I be the cause of it and uh I just want to find out from you    what s with this thing yeah and    why wo nt this go down what be with this damn zipper its stuck on a piece of cloth here I ca nt get the cloth out this be a brand new jacket boy this really burn I up      susan uh ha ha    its just so frustrating its a brand new jacket pull it up a little bit yeah okey wait wait that will separate take it right off the chest you re gon na rip it you re gon na rip it okay uh my mother be be go to pay for the session    ohelaine stare at card be it a scratch or a pick hey its I be there any nostril penetration so let say in her mind she witness a pick okay so then what I guarantee you that mose be a picker you wander throughh the desert for forty year with that dry air    you tell I you re not go to have occasion to clean house a little bit no that s disgusting hey how come I do nt get a christmas card everybody else get one jerry get one kramer get one I think we be good friend I do nt get a christmas card I do nt get it why do nt you call her agency maybe she s be out of town and she do nt get the call it ll be different this time I m not stable I m like a rock I take these glass off you ca nt tell the difference between I and a rock I put these glass on a rock you know what jump into most people mind costanza I change I change two week ago I try a soft boil egg never like it before now I m dunkin a piece of toast in there and I m love it and I be not a piece of toast that s okay that s good you think louie pasteur and his wife have anything in common he be in the field all day with the cow you know with the milk examine the milk delve into milk consumme with milk pasteurization homogenization she be in the kitchen kill cockroach with a boot on each hand because there be a lot of cake lie around the house just sit there go with all the excess milk from all the experiment grin yes yes you know she do nt know about pasteurization he do nt know anout fumigation but they make it work she come out of the bathroom I m in up to my wrist you should have see the look on her face your buttock be spectacular,0.13699011801690372,0.5767921562564421,0.9929,0.07,0.797,0.133,1.1745281752530268e-05,2.3490563505060536e-05,1.845687132540471e-05,1.1745281752530268e-05,3.5235845257590805e-05,2.684635829149776e-05,5.704851136943273e-05,1.5101076538967489e-05,1.1745281752530268e-05,1.845687132540471e-05,772,S04,3,"3: Family, Friends, Food"
15361,george,S04E14,excuse I do you have a ticket okay good well if its as good as ponce de leon ill be happy ponce de leon but that be great lemme tell you sumin when ponce look in that mirror and see that he have nt change and that tear start to roll down his cheek    I lose it you re not go to get back here in time I m in line to buy no its not its the ticketbuyer line be this the ticket holder line or the buyer but I ask you before if you have a ticket and you say no furious good its good to be accurate like that its the same movie what s the difference hey you know what else be play here rochelle rochelle I would nt mind seein that so what s your point by the way you owe I seven fifty no I do nt have any change or I could take the twenty then I could pay you later might be easy try to act as if he do nt care one way or the other but we know well either way so   can I have it whaddya mean you ll get the popcorn and the soda I tell you what you give I the twenty and I will buy you a popcorn and soda and ill throw in a bonbon you go in and save seat well why do nt you go and I could save the seat you say you do nt like save anyway why do nt you give I the twenty and ill stop and get change and then you and I can   uh   youknow settle psh what s the point of even discuss it condescendingly take her hand and pat it you ll give I the money when you have it take two step then reconsider then rereconsider I I trust you um excuse I have you see a guy with like a horse face big tooth and a and a pointed nose yeah uh I just go out I go to look for my friend as if the word be totally foreign my stub you do nt remember I I go in with a pretty woman you know kinda short big wall o hair face like a fry pan whisper elaine loud whisper elaine loud whisper elaine quite out loud not even pretend to whisper elaine we ve just be through this you do nt remember we just have this exact same conversation a minute ago realize the only way out be to show the stub I ve get the stub there you go okay that s my other friend ticket you happy now you get two ticket jerry elaine study his jacket oh man look at this I sit in gum oh by the way you owe I seven fifty I still pay for it you uh owe I for the ticket,0.15853758169934642,0.5284722222222223,0.9968,0.061,0.75,0.189,2.50918990803819e-05,3.763784862057285e-05,2.50918990803819e-05,1.67279327202546e-05,5.01837981607638e-05,3.34558654405092e-05,5.4365781340827445e-05,1.67279327202546e-05,2.50918990803819e-05,6.272974770095474e-05,489,S04,3,"3: Family, Friends, Food"
15586,george,S04E15,so you re a lawyer what kind of case do you handle what be that immigrant come over you show they how to act natural no they re not funny at all no I have no funny friend I m the funny one el clowno oh ok thank you it be good talk to you yeah you would not believe what just happen I be wait for you and this woman be sit at the counter yeah yeah and we start talk and she s this lawyer who s incredible everything I say be funny you know she laugh at everything I say she think I m hilarious you know in a way it be almost too good I start so good I ca nt go any place but down now ya know I get no place to go you see this be what I do with woman I start out too strong now I have to become real that s when it all fall apart what good be real they do nt want real they want funny ooooh yes they do ya get ta put on a show ya always get ta give they a big show you always have to be on otherwise why would they like I they d just go for a well look guy with more money you mean that s true I m right who s he what mail why do nt kramer pick it up oh yeah right when s he come back kramer go to a fantasy camp his whole life be a fantasy camp people should plunk down twothousand dollar to live like he for a week do nothing fall assbackward into money mooch food off your neighbor and have sex without date that s a fantasy camp no no I do nt think so well I think I m well off go oneonone she might not be comfortable no no its not good I do nt think so taste the wine excellent like I really know what I m talk about toast make I uncomfortable but toast I love never start the day without a good piece of toast in fact let toast to toast what be you do here I think you say you hate isabella what happen to the auto show cheryl elaine and uh jerry oh no no no they do nt want to join we as the other be reposition the table no no you ca nt do that they re round it make an eight and yeah well alright no no interrupt you know we should really order the service be so slow here by the time you get anything this be not good this be not good I just do nt think its such a great idea for you to sit here what no of course not maybe you do nt have to be so funny I mean would it kill you not to be so funny all the time that s all I m ask this woman think I m very funny now you re gon na be funny so what be I gon na be I m gon na be a short bald guy with glass who suddenly do nt seem so funny you do nt its funny to elaine and it would nt kill you to not be so funny either hi funny guy huh no and you be nt funny last night either in fact you get we both so depressed she ask I to drive her home after dinner what do you need she for there s a million lawyer alright alright but no funny business same deal as last night jerry please till I m comfortable after consummation jerry you think the person you be talk to be he that s not even close to he he s funny jerry funny he ca nt not be funny dark and disturb his whole life revolve around superman and cereal I convince he to act like that so that you would think I be funny that s how disturb I be if you want disturb that s disturb you ca nt find sickness like that anywhere you think sickness like that grow on tree nobody be sicker than I nobody he s pretend I m the genuine article yes and I put he up to it because I m sick I m the one that need help well should I call you later but but I m disturb i m depressed I m inadequate I get it all its george she do nt help he where be he oh boy well last night she tell I that she like you not you the disturb you so I have to tell she the truth what do you mean I get you do nt give he his visa application,0.1608544421044421,0.6257051694551695,-0.9885,0.19,0.651,0.159,1.2284087960211839e-05,4.299430786074144e-05,1.3819598955238318e-05,1.3819598955238318e-05,4.452981885576792e-05,2.7639197910476636e-05,6.295595079608567e-05,1.8426131940317758e-05,2.4568175920423678e-05,5.067186283587384e-05,807,S04,2,"2: Job, Occupation, Ideas"
15889,george,S04E16,I mean how funny be this I mean be not stupid right we know when something funny okay hey you know what maybe I should give it to my therapist to read she s smart I trust she hey you know we have nt bring the elaine character into the show yet umm we should try and get she into this scene right I do nt even know what they think that s why I m in therapy alright forget elaine hey yeah I feel like I ve grow great they both stand oh by the way do you get a chance to read the script you do nt like it I ca nt believe this what be wrong with it what do nt you like about it it be nt funny what be you kid you do nt find it funny this be what I m pay for let I tell you who do uh buy it um we pitch this story to russell dalrymple the president of nbc and he eat it up with a spoon how s this for criticism um you stink how do like that criticism you know what s funny to I that diploma up on the wall that be my idea of commeddee you sit here tell people what to do oh I m goin baby I m goin head for the door then stop its jerry fault he take out all my good line he s such a control freak oh she do nt think it be funny what be she rowan   martin be suppose to meet with nbc tomorrow she completely shatter my confidence and I m pay for this she s my employee and she slave to earn every penny so that someday I might be able to walk up to a woman and say yes I m bald but I m still a good person no they do nt I try that once I snub for a year nothing every woman I see I snub you never see people so please elaine return from the bathroom my cousin work for bouchard they use to use the bouillabase for a toilet jerry and russell be shocked well you do nt hear it from I but needless to say if you go in there   stick with the consumee aw that s a fun age jerry look at george distastefully would you like a peptobismol I keep they in my wallet   russell go into the bathroom and shut the door to jerry do you think he like it from the bathroom we hear russell violently heave his gut pasta primavera no so you be say how um about the script more joke a different name for the butler russell throw up again we have nt hear his note yet we do nt know how he feel about our work russell throw up yet again hi george he just read it russell vomit again jerry and george look ashamed so you live with your mother huh of course I m the result of my parent have stay together so you never know russell come out of the bathroom you know suddenly I m in the mood for pasta primavera myself jerry nudge george to sneak a peek at molly cleavage as she bend over and look in her backpack jerry have a quick look but george stare hypnotize russell come up behind george well its not my fault you poke I its cleavage I could nt look away what be I wait to win an oscar here this be all I have in my life all right so he catch I in a cleavage peek so big deal who would nt look at his daughter cleavage she s get nice cleavage that s why I peek jerry open the door to take some trash out and meet kramer and gail in the hallway pasta primavera he poke I alright what s the difference what be we gon na do now he wo nt take our call we ca nt get into his office hey now you re onto something yeah well maybe not elaine but somebody like gail though beautiful never mind look who s here do nt hear anything oh uh because if it have anything at all to do with what you perceive as I leer at your daughter I really have to take issue with that I do not leer to jerry do I leer because if I m look straight ahead and something enter my field of vision that s merely a happenstance elaine loudly snap and unfold her napkin at the next table to get russell attention this pasta primavera be fabulous great well its a funny idea cmon funny be funny yeah where s he take you by the way,0.16005817099567102,0.6697916666666665,0.9972,0.055,0.796,0.149,7.754234199584683e-06,2.3262702598754047e-05,1.395762155925243e-05,7.754234199584683e-06,1.5508468399169367e-05,3.566947731808954e-05,2.791524311850486e-05,1.0855927879418557e-05,1.395762155925243e-05,1.5508468399169367e-05,803,S04,0,"0: Dating, Relationships, Sex "
16190,george,S04E17,because of I you must be joke who would nt want to live because of I I m nothing you can do well than I you could throw a dart out the window and hit someone well than I I m no good I m bad I m bad so what could I do I could nt go through with it she threaten to kill herself yes why be that so inconceivable I get two ticket to see guy and doll what paper do she write for lyndon johnson be ugly than degaulle so whaddya say you know you ll always be the only man ill ever love quietly cmon go along I guess that leave I in the clear I just think of a great name for myself if I ever become a porno actor yeah how do you know that allison buy it for I I dunno I guess I have to wait for she to die jerry do you wash this pear it look like it have nt be wash you hear the way he talk to I let I ask you something what do you think of this shirt jerry say he do nt like it no you say you do nt like it yeah actually it be in gym class I be try to climb the rope and jerry be spot I I keep slip and burn my thigh and then finally I slip and fall on jerry head we ve be close ever since no I get my own place my parent they do nt know what s goin on no of course not absolutely my father be gay look you wanna have sex right now do want to have sex with I right now let go cmon let go baby cmon no hey so what do she say yknow   I could hear you on the other line I hear what you say sharon be you there yes I hear you maybe she be nt maybe she hear the whole conversation there may be a problem with the phone hold on the phone a piece of junk goodbye now she think be gay not that there s anything wrong with it yknow there be tribe in indonesia where if you keep your coat on in somebodys house the family go to war not at all two ticket to guy and doll I m gon na go with you its guy and doll not guy and guy now everyone go to think be gay no not at all hello mrs seinfeld oh my god my mother its not true yeah I m buck naked of course not alright now the play be tomorrow night so do you want to have dinner first or do you just want to meet at the theatre no just imagine her reaction oh my god she have nt see the article when she see it she s gon na think I m out baby I m out yeah so do nt you see what it say here do nt you understand what that s imply I m gay I m a gay man I m very very gay extraordinarily gay steep in gayness you do nt believe I ask jerry what do you mean you will that s a bad idea jerry be a very private person jerry oh my god what be you do you re with a woman I leave you alone for two second and this be what you do I trust you alright tell she go ahead yknow about we alright ill tell you the truth I m not gay my name buck naked I m a porno actor,0.016989879489879508,0.6138674388674388,-0.8501,0.109,0.792,0.099,1.8567836263514732e-05,2.6525480376449618e-05,1.3262740188224809e-05,4.509331663996435e-05,3.183057645173954e-05,6.366115290347908e-05,4.509331663996435e-05,3.183057645173954e-05,1.8567836263514732e-05,3.183057645173954e-05,614,S04,2,"2: Job, Occupation, Ideas"
16393,george,S04E18,oh what s the point when I like they they do nt like I when they like I I do nt like they why ca nt I act with the one I like the same way I do with the one I do nt like maybe I need someone who do nt speak english a mute would be good this be what my life have come to   tryin to meet a mute I dunno jerry somethin miss there s a void jerry there s a void there s get ta be more to life than this what give you pleasure start what really volunteer work huh when do you get this idea and   and anybody can do this help people   of course of course it make perfect sense how could I not be do this I be gon na help somebody dammit what kind of a person be you well I feel well already I m feelin like a good person hey what s your guy name again ben cantwell   huh   you think well make it to that age let I ask you something what do you do for a live newman be nt those the guy that always go crazy and come back with a gun and shoot everybody yknow the average life span for an american male be like   you re really   kinda pushin the envelope there you do nt boy I think about it a lot I think about it at my age imagine how much ill be thinkin about it at your age all ill do be keep thinkin about it until it drive I insane grateful how can you be grateful when you re so close to the end when you know that any second poof bammo it can all be over I mean you re not stupid you can read the handwriting on the wall its a matter of simple arithmetic for god sake what be you talk about how can you sit there and look I in the eye and tell that I you re not worried do nt you have any sense do nt you have a brain be you so completely senile that you do nt know what you re talkin about anymore wait a second where be you go wait a minute please but mr cantwell you   you owe I for the soup I do nt think its gon na work out he fire I I dunno I be just talk to the man and he walk out on I yeah I m a great quitter its one of the few thing I do well I come form a long line of quitter my father be a quitter my grandfather be a quitter   I be raise to give up senegal so you do nt speak any english at all you do nt speak any english I would like to dip my bald head in oil and rub it all over your body no reaction you do nt understand its a miracle you do nt understand because you do nt speak english I think I see something fly over here,0.09109237536656893,0.43934331797235027,0.9878,0.036,0.84,0.124,1.484995971948426e-05,2.969991943896852e-05,1.1137469789613195e-05,2.227493957922639e-05,1.8562449649355323e-05,3.7124899298710646e-05,2.969991943896852e-05,7.42497985974213e-06,7.42497985974213e-06,2.227493957922639e-05,519,S04,2,"2: Job, Occupation, Ideas"
16681,george,S04E19,can I ask you a question would you mind switch seat ill shout cmon cmon stand up and physically roll betsy to the left side of the couch see now be that so bad they ll call back in the whole world right now there s maybe three emergency why would you think on this entire planet that you re one of those three alright maybe four I know what the problem be   I like she too much that s why I ca nt make a move I m not her boyfriend I want to be her boyfriend that s funny you re a funny guy why you think I should I m the consolation guy its in detroit though its an expensive flight what really you do nt think you can buy the ticket yourself   no there there you sit and ill purchase the ticket for you I understand you offer a off bereavement fare the death certificate what kind of a sick person would do a thing like that you want my friend to ask his uncle a man who just lose his wife of   year for a death certificate so that he can save a few buck on a flight well I m the boyfriend otherwise what s the point of be the boyfriend this be where you have to be when you re the boyfriend oh no no no you sit right here I will get you a nice snack oh   comfort schmomfort listen father can I ask you a question in a terrible time like this who would I get the death certificate from well dr allenwood uh I be hope to compile an   admittedly rudimentary   scrapbook of her life something that betsy could have and hold onto oh that would be wonderful likewise what excuse I doubledippe what be you talk about so well I m sorry timmy but I do nt dip that way take a chip no dip the chip you dip the way you want to dip bite the chip ill dip the way I want to dip dip the chip again well you see what happen be the doctor   the very same doctor that be attend to my late aunt   suffer an untimely stroke and lose the use of his right hand so obviously I be unable to get the death certificate however I do have this reach inside his coat and take out a polaroid photo that s a picture of I next to the coffin not even close huh,-0.062315270935960586,0.5762520525451561,-0.9625,0.133,0.78,0.087,6.206238962768208e-05,4.513628336558697e-05,6.206238962768208e-05,7.89884958897772e-05,2.8210177103491854e-05,0.00010155663757257067,7.89884958897772e-05,9.027256673117395e-05,5.0778318786285334e-05,5.642035420698371e-05,421,S04,3,"3: Family, Friends, Food"
16916,george,S04E20,you meet she at the supermarket how do you do that laughshu so when re you gon na see she what s her name how could you not know her name oh my god I forget to tell you I get a letter today from the state controller office yknow when I be go to public school back in brooklyn every week I use to put fifty cent in the lincoln saving bank yeah you remember the the little eh bank book there alright so I have nt put anything in it since sixth grade I completely forget about it the state controller office track I down the interest have accumulate to   dollar   dollar they re send I a cheque huyeah interest its an amazing thing you make money without do anything really who maybe ill go down to the track put it all on a horse the bank this be find money I want to parlay it I wanna make a big score what s with the glove huh what the whole apartment yeah no I see home alone ii well I be lose I never see the first one by the way you mind if I watch it here because if I watch it at my apartment I feel like I m not do anything if I watch it here I m out of the house I m do something yeah the original ttu wipe nose and sniff ttu hi no   take off his glass and wipe his eye with his sleeve the old man get to I oh shut up what be you do back so soon anyway put the tape back in its case oh how s the guy hnh that s nerve yknow what it be its clara nightingale syndrome he fall ill she fall in love what d I say clara clara barton what do she do susan b anthony I think i d have a problem with so you gon na buy his art yeah that s what I want triangle alright I m outta here have fun with whatshername yknow now you got ta ask she her name its so embarrassing yeah how now let try breast   celeste   k rest   sest   h what you should ve just ask she what re you gon na do now aretha point finger at jerry bovary point finger again at jerry alright well you know whatcha get ta do you got ta go through her purse yknow thethe credit card driver license when she go to the bathroom what kind of operation be it be nt that where they remove the mulva again point finger at jerry   kramer watch the exchange back and forth what do you mean into the patient into the hole do nt they notice it how could they not notice it wcawhat do they do they leave the junior mint in he ii guess it ca nt hurt he   people eat pound of those thing its that bleak pour a glass of milk yknow if the guy die the art could really be worth something hey elaine put I down for some of that art   dollar worth oh hi I m george they shake hand yeahaha I give it a shot pat jerry on the arm   so any word on the artiste put a video in the vcr hehe well I get my triangle sit on the couch yup yknow they really spruce up the apartment nono jerry I would nt do that ehh you could get in trouble who be you to play god every man time come if his number be up who be you to interfere wwhat what he do nt get well do he where s the luck there s no luck   dollar down the drain oh well ththat great its really great hm hm mm yes I look forward to many year of   look at the triangle well ill ah ill wait for you outside yeah thank roy,0.051507936507936516,0.4298015873015873,0.9903,0.067,0.796,0.137,2.2818338642400126e-05,5.0200345013280275e-05,1.3691003185440076e-05,3.879117569208021e-05,3.1945674099360174e-05,4.335484342056024e-05,5.932768047024032e-05,4.335484342056024e-05,2.5100172506640137e-05,2.7382006370880152e-05,662,S04,3,"3: Family, Friends, Food"
17331,george,S04E21,this ll only take a second to himself hey whatdya know look at that a lesbian sighting ohho my lucky day they re so fascinating why be that because they do nt want we you got ta respect that to himself oh my god its susan what do I do to himself argh to susan susan hi oh boy what be you do here oh    some stupid movie oh hi yes well yeah yes I just have nt see you in a long time oh please I cmon that s great be you kid I think that s fantastic I ve always encourage experimentation I m the first guy in the pool who do you think you re talk to of course you do   its just uh yknow ii never know uh that uh there you go so uh how long have this be go on ssssso after I you   go that way oh I think that s fantastic good for you nice that s very nice oh i uh its a foreign movie   a film be what it be actually no no no   just a tiny bit   its not even frontal nudity its   sidal nudity oh that s I yes good to see you too and good luck with uh   with the whole thing there embarrassed pause rochelle rochelle   it say what there s no sign here this be an outrage I m not give you the satisfaction I m gon na watch it again what be that bo this be unbelievable bo so let I ask you do you think I could have do this no no I mean drive susan to lesbianism what if her experience with I drive she to it the woman she s lesbiane with susan tell I she s never be with a guy oh this be nt even bo this be beyond bo its bbo yknow the funny thing be somehow I find she more appealing now   its like if I know she be a lesbian when we go out I never would ve break up with she stink oh its the chicken and the egg forget about smell the car smell the valet go to the source listen I get ta ask you I be a little concerned that perhaps I be responsible in some way for your uh   metamorphosis what how could that piece of crap cost so be it I oh thank thank a lot ill pay you back listen let I ask you something if you and mona be ever to   dance how do you decide who lead I mean   do you take turn do you discuss it beforehand how do that work why that s a legitimate sociological question its not I its the car how could it still smell after all that well what be you gon na do you re sell the car maybe ill buy it he steal your girlfriend amazing I drive they to lesbianism he bring em back I know what you re go through woman who know what they want listen you re beautiful you re intelligent you ll meet other girl yes I know so you happen to be a very eligible lesbian hey I know what I m talk about I get ta be honest with you I get ta tell ya   ever since I see you hold hand with that woman I ca nt get you out of my mind yeah you re just so   hip oh my god its allison I date she right after you she s obsess with I allison hi oh my god how be you right I do nt have it on I allison this be susan susan allison,0.17835742630385487,0.6407879818594103,0.9961,0.065,0.768,0.167,1.844746162927981e-05,4.2165626581211e-05,3.9530274919885315e-05,2.3718164951931185e-05,2.635351661325687e-05,5.007168156518806e-05,4.2165626581211e-05,2.8988868274582557e-05,1.5812109967954123e-05,2.3718164951931185e-05,616,S04,1,"1: NY Outings, Events"
17532,george,S04E22,hey be it my imagination or do really good look woman walk a lot fast than everybody else no seriously the well look they be the fast they go I mean I see they out there on the street they re zoom around like a blur like they have a motor on their ass I get ta buy a present now it never end this present stuff engagement present then they get marry you gon na have to get they something for that then the baby there s another present then the baby start get their present I do nt even like drake hate the drake who s the drake I have nt even meet the fiancee whatever leave for washroom no no no out of the question I be over there today he s get the good spot in front of the good building in the good neighbourhood I know he s not gon na wanna move you do nt know what that spot mean to he once he get it he do nt go out for week good thinking I like this area I could live out here look at this there s no space here to another car excuse I be you gettin out you think I do nt want to walk that far look be not gon na be that long anyway   we have to get to the party he s right its the same thing with the femenist you know they want everything to be equal everything but when the check come where be they yeah alright I m pull in oh come on its five minute what do I get the veggie burger for you get a veggie burger so I have to get the veggie burger I m allover crum how be we gon na get out of here they ll kill we screw the drake ca nt leave the car here its my father car what be we gon na do how be we gon na get out of here what I do nt get be just because the battery be dead you think shed be able to roll up the hill with her hand I mean battery have go dead before be nt they prepared for that must be one of those rich spoil handicapped people who do nt want to do any work and just want to sit in her wheelchair and take it easy well I m sorry how be we gon na get out of here we need a plan that s good well give it a try dad that other car cut we off they have swastikas all over it   they be hurl racial epiphate at we   I could have be kill I m uh   write a pilot for nbc well jerry car get hit and the other driver do nt have any insurance so the judge nah he do nt have anything to do with it its I what a wheelchair what for do nt she have collision well my father work for the united volunteer maybe he can get she one what about these two be nt they gon na chip in ca nt we just fix the old one alright alright well buy she a wheelchair wheelchair engagement present it never end how much do you have something a little more   less expensive like what how much hey why what do you mean the engagement be off we get the tv back that s business she ca nt take it its not her its theirs once there s no theirs there s no hers it should be ours upset I tell you the drake be bad I hate the drake maybe we should call she really I could see that how could anybody be so selfish and inconsiderate you mean a blessing in disguise parking in a handicap spot right in the middle of his united volunteer meeting when he get back he chase after I with a baseball bat between the car get total the tow charge and the fine there s no way I can ever pay he back I agree to become his butler the woman we buy the wheelchair for   you re very attractive boy even I never hear that one well we just blow   buck on a wheelchair well it be slightly use what son of bitch big screen tv hi be from the united volunteer we ve come to pick up the tv who s get the receipt will they give we cash I hate this mall there be never any space here what if there be a fire,0.03562285415733692,0.4570504926108374,0.4738,0.119,0.747,0.134,1.6778973932186097e-05,3.0202153077934978e-05,1.342317914574888e-05,2.013476871862332e-05,2.5168460898279147e-05,3.5235845257590805e-05,3.691374265080942e-05,1.845687132540471e-05,2.181266611184193e-05,3.188005047115359e-05,772,S04,1,"1: NY Outings, Events"
